# Configuracion:
# Concentracion g/m^3_=_8100.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135226.28930794646
# 
Resultados:
# tau_s_=_(1.08+/-0.02)e-07
# dphi_rad_=_6.38+/-0.00
# SAR_W/g_=_259.58+/-4.87
# Hc_kA/m_=_4.55+/-0.04
# Mr_A/m_=_209.10+/-2.25
# Suceptibilidad_a_M=0_=_0.0508+/-0.0008

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_100dA_100Mss_Ni0cRC005.txt	23/05/2024 16:44:03	19.3	203.77	4.59	38460.00	947.97	1.352265e+05	7.988127e+00	6.376485e+00	254.52	1.101189e-07	4437	4.862e-02
135kHz_100dA_100Mss_Ni0cRC006.txt	23/05/2024 16:44:04	19.3	205.05	4.59	38460.00	947.48	1.352265e+05	8.095984e+00	6.376686e+00	258.51	1.103573e-07	4437	4.919e-02
135kHz_100dA_100Mss_Ni0cRC007.txt	23/05/2024 16:44:05	19.3	206.03	4.55	38460.00	962.40	1.352570e+05	8.173186e+00	6.375748e+00	258.42	1.092447e-07	4436	4.908e-02
135kHz_100dA_100Mss_Ni0cRC008.txt	23/05/2024 16:44:06	19.4	210.09	4.64	38460.00	960.18	1.352570e+05	8.193387e+00	6.377016e+00	262.60	1.107526e-07	4436	5.035e-02
135kHz_100dA_100Mss_Ni0cRC009.txt	23/05/2024 16:44:07	19.5	207.27	4.55	38460.00	979.05	1.352265e+05	8.231858e+00	6.375232e+00	258.78	1.086349e-07	4437	5.070e-02
135kHz_100dA_100Mss_Ni0cRC010.txt	23/05/2024 16:44:08	19.4	210.55	4.60	38460.00	976.24	1.352265e+05	8.292592e+00	6.377261e+00	266.41	1.110416e-07	4437	5.047e-02
135kHz_100dA_100Mss_Ni0cRC011.txt	23/05/2024 16:44:09	19.5	207.05	4.52	38460.00	975.37	1.352265e+05	8.280782e+00	6.373550e+00	255.57	1.066398e-07	4437	4.983e-02
135kHz_100dA_100Mss_Ni0cRC012.txt	23/05/2024 16:44:11	19.6	211.86	4.59	38460.00	972.56	1.352265e+05	8.288768e+00	6.377595e+00	267.23	1.114407e-07	4437	5.130e-02
135kHz_100dA_100Mss_Ni0cRC013.txt	23/05/2024 16:44:12	19.6	210.06	4.56	38460.00	973.39	1.352265e+05	8.294186e+00	6.376044e+00	263.03	1.095983e-07	4437	5.103e-02
135kHz_100dA_100Mss_Ni0cRC014.txt	23/05/2024 16:44:13	19.6	210.37	4.56	38460.00	975.49	1.352265e+05	8.309781e+00	6.376193e+00	263.95	1.097757e-07	4437	5.139e-02
135kHz_100dA_100Mss_Ni0cRC015.txt	23/05/2024 16:44:14	19.6	210.21	4.56	38460.00	979.67	1.352265e+05	8.313952e+00	6.374029e+00	257.95	1.072099e-07	4437	5.039e-02
135kHz_100dA_100Mss_Ni0cRC016.txt	23/05/2024 16:44:15	19.6	209.78	4.55	38460.00	980.87	1.352265e+05	8.327158e+00	6.374968e+00	261.02	1.083233e-07	4437	5.084e-02
135kHz_100dA_100Mss_Ni0cRC017.txt	23/05/2024 16:44:16	19.6	209.87	4.56	38460.00	979.57	1.352265e+05	8.332775e+00	6.375392e+00	262.40	1.088257e-07	4437	5.065e-02
135kHz_100dA_100Mss_Ni0cRC018.txt	23/05/2024 16:44:17	19.6	207.70	4.50	38460.00	978.11	1.352265e+05	8.339198e+00	6.372722e+00	255.02	1.056596e-07	4437	5.051e-02
135kHz_100dA_100Mss_Ni0cRC019.txt	23/05/2024 16:44:19	19.6	209.16	4.53	38460.00	987.66	1.352265e+05	8.315119e+00	6.373845e+00	257.46	1.069919e-07	4437	5.091e-02
135kHz_100dA_100Mss_Ni0cRC020.txt	23/05/2024 16:44:21	19.7	210.20	4.55	38460.00	978.08	1.352265e+05	8.315294e+00	6.375296e+00	261.58	1.087147e-07	4437	5.122e-02
135kHz_100dA_100Mss_Ni0cRC021.txt	23/05/2024 16:44:22	19.7	207.92	4.48	38460.00	983.63	1.352265e+05	8.323428e+00	6.372281e+00	253.29	1.051365e-07	4437	5.176e-02
135kHz_100dA_100Mss_Ni0cRC022.txt	23/05/2024 16:44:23	19.7	205.50	4.48	38460.00	980.23	1.352265e+05	8.292708e+00	6.370609e+00	247.63	1.031534e-07	4437	5.117e-02
135kHz_100dA_100Mss_Ni0cRC023.txt	23/05/2024 16:44:24	19.6	209.46	4.52	38460.00	975.12	1.352265e+05	8.330800e+00	6.373958e+00	258.27	1.071273e-07	4437	5.162e-02
135kHz_100dA_100Mss_Ni0cRC024.txt	23/05/2024 16:44:25	19.7	210.04	4.56	38460.00	964.32	1.352265e+05	8.269753e+00	6.375122e+00	259.66	1.085099e-07	4437	5.058e-02
135kHz_100dA_100Mss_Ni0cRC025.txt	23/05/2024 16:44:26	19.6	207.91	4.50	38460.00	993.86	1.352265e+05	8.325049e+00	6.372781e+00	254.76	1.057312e-07	4437	5.089e-02
135kHz_100dA_100Mss_Ni0cRC026.txt	23/05/2024 16:44:27	19.6	209.44	4.53	38460.00	976.92	1.352265e+05	8.288520e+00	6.373659e+00	256.12	1.067746e-07	4437	5.136e-02
135kHz_100dA_100Mss_Ni0cRC027.txt	23/05/2024 16:44:28	19.6	211.18	4.58	38460.00	972.79	1.352265e+05	8.272681e+00	6.376849e+00	264.61	1.105593e-07	4437	5.162e-02
135kHz_100dA_100Mss_Ni0cRC028.txt	23/05/2024 16:44:30	19.7	208.66	4.50	38460.00	983.67	1.352265e+05	8.303533e+00	6.373113e+00	255.04	1.061277e-07	4437	5.161e-02
135kHz_100dA_100Mss_Ni0cRC029.txt	23/05/2024 16:44:31	19.7	211.85	4.59	38460.00	979.64	1.352265e+05	8.292356e+00	6.376383e+00	263.93	1.100076e-07	4437	5.138e-02
135kHz_100dA_100Mss_Ni0cRC030.txt	23/05/2024 16:44:32	19.7	214.02	4.62	38460.00	974.79	1.352265e+05	8.311225e+00	6.378576e+00	270.73	1.126128e-07	4437	5.193e-02
135kHz_100dA_100Mss_Ni0cRC031.txt	23/05/2024 16:44:33	19.7	210.84	4.54	38460.00	992.17	1.352265e+05	8.306313e+00	6.374905e+00	260.19	1.082574e-07	4437	5.196e-02
