# Configuracion:
# Concentracion g/m^3_=_8100.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_264074.87747844774
# 
Resultados:
# tau_s_=_(1.97+/-0.04)e-08
# dphi_rad_=_6.32+/-0.00
# SAR_W/g_=_311.97+/-5.25
# Hc_kA/m_=_3.43+/-0.03
# Mr_A/m_=_175.23+/-2.39
# Suceptibilidad_a_M=0_=_0.0565+/-0.0013

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_150dA_100Mss_Ni0cRC010.txt	23/05/2024 15:59:01	20.4	168.09	3.47	57041.50	1044.50	2.640845e+05	1.847014e+01	6.316372e+00	303.54	2.000920e-08	4544	5.309e-02
265kHz_150dA_100Mss_Ni0cRC011.txt	23/05/2024 15:59:03	20.5	170.90	3.48	57041.50	1059.51	2.640845e+05	1.867963e+01	6.316857e+00	311.47	2.030169e-08	4544	5.399e-02
265kHz_150dA_100Mss_Ni0cRC012.txt	23/05/2024 15:59:04	20.5	172.03	3.44	57041.50	1082.06	2.640845e+05	1.911735e+01	6.316483e+00	315.23	2.007615e-08	4544	5.512e-02
265kHz_150dA_100Mss_Ni0cRC013.txt	23/05/2024 15:59:05	20.5	174.11	3.46	57041.50	1080.73	2.640845e+05	1.910745e+01	6.316610e+00	316.27	2.015271e-08	4544	5.517e-02
265kHz_150dA_100Mss_Ni0cRC014.txt	23/05/2024 15:59:06	20.5	174.01	3.42	57041.50	1084.01	2.640845e+05	1.918549e+01	6.315832e+00	310.17	1.968315e-08	4544	5.583e-02
265kHz_150dA_100Mss_Ni0cRC015.txt	23/05/2024 15:59:07	20.5	173.68	3.44	57041.50	1080.09	2.640264e+05	1.908958e+01	6.316376e+00	313.69	2.001150e-08	4545	5.520e-02
265kHz_150dA_100Mss_Ni0cRC016.txt	23/05/2024 15:59:08	20.6	176.01	3.48	57041.50	1086.32	2.640845e+05	1.920341e+01	6.317139e+00	322.88	2.047186e-08	4544	5.536e-02
265kHz_150dA_100Mss_Ni0cRC017.txt	23/05/2024 15:59:09	20.6	175.27	3.46	57041.50	1090.20	2.640264e+05	1.922762e+01	6.316918e+00	321.11	2.033833e-08	4545	5.672e-02
265kHz_150dA_100Mss_Ni0cRC018.txt	23/05/2024 15:59:10	20.6	174.55	3.43	57041.50	1090.55	2.640264e+05	1.925265e+01	6.316193e+00	314.63	1.990116e-08	4545	5.572e-02
265kHz_150dA_100Mss_Ni0cRC019.txt	23/05/2024 15:59:12	20.6	176.92	3.43	57041.50	1091.81	2.640845e+05	1.929508e+01	6.315554e+00	309.28	1.951529e-08	4544	5.679e-02
265kHz_150dA_100Mss_Ni0cRC020.txt	23/05/2024 15:59:13	20.6	176.31	3.43	57041.50	1088.86	2.640845e+05	1.929012e+01	6.315232e+00	306.13	1.932111e-08	4544	5.691e-02
265kHz_150dA_100Mss_Ni0cRC021.txt	23/05/2024 15:59:15	20.6	175.64	3.40	57041.50	1099.80	2.640845e+05	1.942850e+01	6.314972e+00	305.83	1.916432e-08	4544	5.737e-02
265kHz_150dA_100Mss_Ni0cRC022.txt	23/05/2024 15:59:16	20.6	175.35	3.40	57041.50	1095.48	2.640264e+05	1.939372e+01	6.315750e+00	312.68	1.963407e-08	4545	5.681e-02
265kHz_150dA_100Mss_Ni0cRC023.txt	23/05/2024 15:59:17	20.6	175.96	3.42	57041.50	1093.53	2.640264e+05	1.932496e+01	6.315926e+00	313.25	1.974000e-08	4545	5.660e-02
265kHz_150dA_100Mss_Ni0cRC024.txt	23/05/2024 15:59:18	20.6	177.24	3.42	57041.50	1095.64	2.640845e+05	1.940759e+01	6.315702e+00	312.51	1.960492e-08	4544	5.716e-02
265kHz_150dA_100Mss_Ni0cRC025.txt	23/05/2024 15:59:19	20.6	175.79	3.38	57041.50	1096.88	2.640264e+05	1.941172e+01	6.315310e+00	308.74	1.936819e-08	4545	5.734e-02
265kHz_150dA_100Mss_Ni0cRC026.txt	23/05/2024 15:59:20	20.7	178.18	3.44	57041.50	1092.44	2.640845e+05	1.935755e+01	6.316014e+00	314.69	1.979297e-08	4544	5.739e-02
265kHz_150dA_100Mss_Ni0cRC027.txt	23/05/2024 15:59:21	20.7	175.28	3.35	57041.50	1099.30	2.640264e+05	1.946608e+01	6.314483e+00	301.64	1.886968e-08	4545	5.794e-02
265kHz_150dA_100Mss_Ni0cRC028.txt	23/05/2024 15:59:22	20.7	177.29	3.40	57041.50	1100.67	2.640845e+05	1.951983e+01	6.315952e+00	316.73	1.975583e-08	4544	5.793e-02
265kHz_150dA_100Mss_Ni0cRC029.txt	23/05/2024 15:59:24	20.7	178.70	3.44	57041.50	1105.13	2.640845e+05	1.945365e+01	6.316109e+00	317.17	1.985033e-08	4544	5.775e-02
265kHz_150dA_100Mss_Ni0cRC030.txt	23/05/2024 15:59:25	20.7	177.02	3.40	57041.50	1100.23	2.640845e+05	1.947003e+01	6.315075e+00	307.47	1.922627e-08	4544	5.800e-02
265kHz_150dA_100Mss_Ni0cRC031.txt	23/05/2024 15:59:26	20.7	176.71	3.38	57041.50	1101.06	2.640845e+05	1.952163e+01	6.315064e+00	308.18	1.921977e-08	4544	5.811e-02
